Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	27	20.0	1.1205798857532295E-22	DCTN1, KIF14, KIF17, SKA1, KIF15, RACGAP1, NUSAP1, GTSE1, DLGAP5, PLK1, KIF25, KIF23, KIF6, CENPE, TPX2, KIF18A, CENPF, KIF18B, KIFC2, PRC1, KIFC1, KIF4A, KIF2C, KIF20A, KIFC3, KIF20B, PAFAH1B1	131	267	18765	14.48537610429711	2.2859829669365882E-20	2.2859829669365882E-20	2.084278587501007E-20
GOTERM_MF_DIRECT	GO:0005200~structural constituent of cytoskeleton	20	14.814814814814813	4.294962807433561E-22	TUBAL3, TUBB, TUBB8B, TUBE1, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	131	104	18765	27.54697592483852	8.761724127164464E-20	4.380862063582232E-20	3.994315410913211E-20
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	16	11.851851851851853	7.11611311876556E-20	KIF14, KIF25, KIF23, KIF17, KIF6, KIF15, CENPE, KIF18A, KIF18B, KIFC2, KIFC1, KIF4A, KIF2C, KIF20A, KIFC3, KIF20B	131	60	18765	38.19847328244275	1.4516870762281743E-17	4.838956920760581E-18	4.411990133634648E-18
GOTERM_MF_DIRECT	GO:1990939~ATP-dependent microtubule motor activity	14	10.37037037037037	9.730967315770498E-19	KIF25, KIF23, KIF17, KIF6, KIF15, CENPE, KIF18A, KIF18B, KIFC2, KIFC1, KIF4A, KIF2C, KIF20A, KIF20B	131	42	18765	47.74809160305344	1.9851173324171816E-16	4.962793331042954E-17	4.5248998018332814E-17
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	20	14.814814814814813	1.3263158440973308E-12	ATAD2, KIF14, KIF25, KIF23, SMC4, KIF17, KIF6, SMC2, KIF15, KIF18A, BRIP1, KIF18B, KIFC2, KIFC1, MCM4, KIF2C, KIF20A, DNA2, MCM6, KIF20B	131	329	18765	8.707858651012785	2.7055957474431125E-10	5.4113686439171096E-11	4.933894940042071E-11
GOTERM_MF_DIRECT	GO:0005524~ATP binding	39	28.888888888888886	2.0091260663862743E-12	KIF14, BUB1B, TTK, MKI67, SMC4, KIF17, AURKA, SMC2, KIF15, BRIP1, CHEK1, NEK2, BUB1, PLK4, POLQ, DYNC1H1, PLK1, ATAD2, KIF25, KIF23, MASTL, KIF6, CIT, CENPE, KIF18A, KIF18B, MELK, KIFC2, KIFC1, KIF4A, UBE2T, CDK1, MCM4, KIF2C, KIF20A, MCM6, KIFC3, DNA2, KIF20B	131	1540	18765	3.627614751660553	4.0987080396348574E-10	6.831028625713332E-11	6.22829080579745E-11
GOTERM_MF_DIRECT	GO:0003924~GTPase activity	20	14.814814814814813	3.5615347462426056E-12	TUBAL3, TUBB, TUBB8B, TUBE1, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	131	348	18765	8.232429586733351	7.265428259017881E-10	1.0379329831907021E-10	9.463506611444639E-11
GOTERM_MF_DIRECT	GO:0005525~GTP binding	20	14.814814814814813	3.502307908850654E-11	TUBAL3, TUBB, TUBB8B, TUBE1, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	131	397	18765	7.2163362624262115	7.144711489104338E-9	8.930885167569168E-10	8.142865888077771E-10
GOTERM_MF_DIRECT	GO:0005515~protein binding	118	87.4074074074074	4.920876154888686E-10	ZWILCH, DSCC1, CCNF, HJURP, BUB1B, MKI67, SMC4, SMC2, TUBB6, TUBB3, CHEK1, NUSAP1, OIP5, NEK2, FBXO5, GTSE1, TMPO, RC3H1, ESCO2, CDC25C, TUBA4A, MELK, TIMELESS, KIF20A, DNA2, KIF20B, MAD1L1, PARPBP, CDCA5, NCAPG, HMMR, SKA3, NCAPH, SKA1, CCNB2, BRIP1, CCNB1, RACGAP1, MCMBP, CLSPN, FANCI, PLK4, STIL, PLK1, TBCD, ZWINT, NDC80, TPX2, KIF18A, DLG1, KIF18B, KIF4A, UBE2T, SASS6, CDK1, TUBA8, EZH2, NCAPG2, PTEN, KIF14, MCM10, BRCA1, KIF15, LMNB1, TUBA1C, TUBA1B, TUBA1A, EXO1, NUF2, CASP1, SPDL1, DLGAP5, CEP55, TUBB, SLC2A13, KIF23, KIF6, YWHAZ, CIT, CCNA2, TUBB2B, TUBB2A, DBF4, ESPL1, INCENP, DEPDC1, MCM4, DNAJC9, KIF2C, MCM6, KIFC3, PFDN4, DTL, PAFAH1B1, DCTN1, TTK, LIN9, AURKA, TUBA3E, TUBA3D, BUB3, BUB1, POLQ, DYNC1H1, RRM2, ATAD2, TUBB4B, TUBB4A, TICRR, CENPE, CENPF, PRC1, CENPI, CENPL, CENPO, TAF5, SPC25, MAD2L1	131	12517	18765	1.3503894245810428	1.0038586395477722E-7	1.1153985951081022E-8	1.0169810720103285E-8
GOTERM_MF_DIRECT	GO:0008574~ATP-dependent microtubule motor activity, plus-end-directed	6	4.444444444444445	8.549808498878374E-8	CENPE, KIF18A, KIF18B, KIF14, KIF20B, KIF17	131	17	18765	50.55680287382128	1.7441457970446272E-5	1.7441609337711882E-6	1.5902643807913778E-6
