Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04540:Gap junction	19	14.074074074074074	2.895255324573283E-22	TUBAL3, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, CDK1, TUBA8	60	88	8142	29.298863636363635	2.3451568129043593E-20	2.3451568129043593E-20	1.8529634077269012E-20
KEGG_PATHWAY	hsa04110:Cell cycle	18	13.333333333333334	8.644563652697167E-18	PLK1, BUB1B, TTK, CDC25C, YWHAZ, CCNA2, CCNB2, CCNB1, DBF4, ESPL1, CHEK1, CDK1, MCM4, BUB3, MCM6, BUB1, MAD1L1, MAD2L1	60	126	8142	19.385714285714283	7.002096558684705E-16	2.393081345404834E-16	1.890829705011227E-16
KEGG_PATHWAY	hsa04145:Phagosome	19	14.074074074074074	8.863264242240127E-18	DYNC1H1, TUBAL3, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	60	152	8142	16.9625	7.179244036214503E-16	2.393081345404834E-16	1.890829705011227E-16
KEGG_PATHWAY	hsa05132:Salmonella infection	21	15.555555555555555	2.1870491702555204E-16	DYNC1H1, TUBAL3, DCTN1, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, CASP1, TUBA8	60	249	8142	11.444578313253011	1.7985612998927536E-14	4.428774569767429E-15	3.4992786724088327E-15
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	19	14.074074074074074	9.576233722917245E-16	TUBAL3, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, CASP1, TUBA8	60	197	8142	13.087817258883248	8.093525849517391E-14	1.5513498631125936E-14	1.2257579165334074E-14
KEGG_PATHWAY	hsa05016:Huntington disease	19	14.074074074074074	2.184498635203891E-12	TUBAL3, DCTN1, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	60	306	8142	8.425816993464052	1.769424606834491E-10	2.949073157525253E-11	2.330131877550817E-11
KEGG_PATHWAY	hsa05012:Parkinson disease	18	13.333333333333334	2.681376585584029E-12	TUBAL3, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	60	266	8142	9.182706766917294	2.1719426257504892E-10	3.102735763318662E-11	2.4515443068196834E-11
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	20	14.814814814814813	3.87554927754873E-12	TUBAL3, DCTN1, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, CASP1, TUBA8	60	364	8142	7.456043956043955	3.139208892832812E-10	3.673202935094005E-11	2.9022838005681022E-11
KEGG_PATHWAY	hsa05020:Prion disease	18	13.333333333333334	4.081336594548894E-12	TUBAL3, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	60	273	8142	8.947252747252747	3.305845597267876E-10	3.673202935094005E-11	2.9022838005681022E-11
KEGG_PATHWAY	hsa05010:Alzheimer disease	18	13.333333333333334	8.932454401477905E-10	TUBAL3, TUBB, TUBB4B, TUBB4A, TUBA4A, TUBB8, TUBA3E, TUBA1C, TUBA1B, TUBB6, TUBA3D, TUBB2B, TUBA1A, TUBA3C, TUBB2A, TUBB3, TUBB1, TUBA8	60	384	8142	6.3609374999999995	7.235288113083271E-8	7.235288065197103E-9	5.71677081694586E-9
